"Part","Qty","Link", "Price"
"Raspberry Pi Zero 2", "1", "[https://www.adafruit.com/piz2w](link)", "16.50"
"4.0 Inch Waveshare HDMI Display", "1", "[https://www.amazon.com/HDMI-LCD-Resolution-Resistive-Screen/dp/B07P5H2315](link)", "38.99"
"V4 RTL-SDR Module", "1", "[https://www.amazon.com/RTL-SDR-Blog-RTL2832U-Software-Defined/dp/B0CD745394](link)", "37.95"
"GY-NEO6MV2 NEO-6M GPS Module", "1", "[https://www.amazon.com/DWEII-GY-NEO6MV2-NEO6MV2-Control-Antenna/dp/B0BBM2H5TX/](link)", "8.99"
"MAX10302 Pulse Oximeter", "1", "[https://www.amazon.com/HiLetgo-MAX30102-Breakout-Oximetry-Solution/dp/B07QC67KMQ/](link)", "6.99"
"Lithium Ion Battery - 3.7V 10050mAh", "1", "[https://www.adafruit.com/product/5035](link)", "29.95"
"Power Boost 1000 Charger", "1", "[https://www.adafruit.com/product/2465](link)", "19.95"
"EC12 Encoder", "5", "[https://www.digikey.com/en/products/detail/alps-alpine/EC12E24204A2/19529077](link)", "1.70"
"Push Button", "1", "[https://](link)", "null"
"3mm Diameter 50mm Steel Dowel Pin", "2", "[https://www.mcmaster.com/products/dowel-pins/dowel-pins-1~~/length~50-mm/diameter~3-0000-mm/diameter~3-000-mm/diameter~3-mm/](link)", "12.45"
"3mm Diameter 16mm Steel Dowel Pin", "1", "[https://www.mcmaster.com/products/dowel-pins/dowel-pins-1~~/diameter~3-0000-mm/diameter~3-000-mm/diameter~3-mm/length~16-mm/](link)", "10.84"
"3mm Diameter 7mm Steel Dowel Pin", "2", "[https://www.mcmaster.com/products/dowel-pins/dowel-pins-1~~/diameter~3-0000-mm/diameter~3-000-mm/diameter~3-mm/length~7-mm/](link)", "6.83"
"3mm Diameter 36mm Steel Dowel Pin", "1", "[https://www.mcmaster.com/products/dowel-pins/dowel-pins-1~~/diameter~3-0000-mm/diameter~3-000-mm/diameter~3-mm/length~36-mm/](link)", "11.96"
"3mm Diameter 30mm Steel Dowel Pin", "1", "[https://www.mcmaster.com/products/dowel-pins/dowel-pins-1~~/diameter~3-0000-mm/diameter~3-000-mm/diameter~3-mm/length~30-mm/](link)", "16.40"
"M3x4mmx5mm Heatset Inserts", "6", "[https://www.amazon.com/Threaded-Inserts-Printing-Components-Assortment/dp/B0DGQH7YX6](link)", "7.09"
"M3 Screw Kit (whatever screw length works)", "1", "[https://www.amazon.com/Assortment-Stainless-Replacement-Machine-Fastener/dp/B0CMQG542V](link)", "15.99"
"2 Gallon Polypropylene Container (for electroplating)", "1", "[https://www.mcmaster.com/products/tubs/food-industry-plastic-storage-containers-6/material~polypropylene/](link)", "9.19"
"Polypropylene Carboy (Copper Sulfate solution storage)", "1", "[https://www.mcmaster.com/products/tanks/capacity~3-gal/carboys-1~/](link)", "31.29"
"Copper sulfate Pentahydrate", "1", "[https://www.amazon.com/Copper-Sulfate-Pentahydrate-Powder-Lbs/dp/B018W893PY/](link)", "22.95"
"Distilled Water", "2", "[https://www.walmart.com/ip/Pure-Life-Distilled-Water-1-Gallon-Plastic-Bottled-Water-1-Pack-Side-Handle/1070666864](link)", "2.38"
"Distilled White Vinegar", "2", "[https://www.walmart.com/ip/Great-Value-Distilled-White-Vinegar-128-fl-oz/10450998](link)", "3.94"
"Metal Polish", "1", "[https://www.amazon.com/Brasso-2660089334-Multi-Purpose-Metal-Polish/dp/B00D600PLA/](link)", "4.98"
